02013	509
02016	915
02020	15010
02050	2894
02060	516
02068	1177
02070	948
02090	12144
02100	830
02110	2154
02122	15698
02130	2040
02150	1433
02164	929
02170	14285
02180	2596
02185	1884
02188	949
02201	1442
02220	1000
02232	1181
02240	2551
02261	3712
02270	873
02280	1352
02282	400
02290	4689
01001	5854
01003	24784
01005	5736
01007	6809
01009	11430
01011	3233
01013	5470
01015	16135
01017	7027
01019	9060
01021	8183
01023	5226
01025	8150
01027	5080
01029	5295
01031	7227
01033	9983
01035	5478
01037	5306
01039	10348
01041	3889
01043	14148
01045	8735
01047	10720
01049	14347
01051	10126
01053	10179
01055	13755
01057	6603
01059	8263
01061	6454
01063	5172
01065	4366
01067	4410
01069	10962
01071	12020
01073	88738
01075	7023
01077	11925
01079	6258
01081	10611
01083	7875
01085	5885
01087	6039
01089	20111
01091	6489
01093	11889
01095	12576
01097	35288
01099	7106
01101	16811
01103	10157
01105	4641
01107	7221
01109	6520
01111	6654
01113	6500
01115	14364
01117	19821
01119	4389
01121	16653
01123	10818
01125	20593
01127	14725
01129	8606
01131	5738
01133	7970
05001	7832
05003	7333
05005	10963
05007	27708
05009	10796
05011	4159
05013	4567
05015	7951
05017	4994
05019	6825
05021	6602
05023	8176
05025	3673
05027	7272
05029	6809
05031	14327
05033	9812
05035	7476
05037	4921
05039	4903
05041	4771
05043	5556
05045	11400
05047	6352
05049	7370
05051	18643
05053	6015
05055	8027
05057	8325
05059	8197
05061	5835
05063	8380
05065	7255
05067	5667
05069	14592
05071	9319
05073	4768
05075	5381
05077	3880
05079	4248
05081	4321
05083	8722
05085	10246
05087	6343
05089	8665
05091	8154
05093	9318
05095	4582
05097	6008
05099	4525
05101	4962
05103	8459
05105	4990
05107	6310
05109	6252
05111	6479
05113	8377
05115	10434
05117	4761
05119	45910
05121	5672
05123	7472
05125	13848
05127	6833
05129	4085
05131	15756
05133	7152
05135	7719
05137	4924
05139	12701
05141	7713
05143	23657
05145	13023
05147	4121
05149	7106
60010	1701
60020	136
60030	0
60040	1
60050	3588
04001	72314
04003	34248
04005	68387
04007	17636
04009	11477
04011	3761
04012	12142
04013	210759
04015	53343
04017	62339
04019	72484
04021	43087
04023	8904
04025	44682
04027	19664
06001	53329
06003	1555
06005	7446
06007	24662
06009	14848
06011	6984
06013	45494
06015	8114
06017	27400
06019	66469
06021	10522
06023	34746
06025	23122
06027	24708
06029	120496
06031	20480
06033	21873
06035	23172
06037	266831
06039	20182
06041	15941
06043	11520
06045	29764
06047	20090
06049	20473
06051	13356
06053	39041
06055	8210
06057	17330
06059	105777
06061	28768
06063	15965
06065	114910
06067	55043
06069	12082
06071	165904
06073	147138
06075	19152
06077	28363
06079	33825
06081	27527
06083	32408
06085	64267
06087	16469
06089	39337
06091	7406
06093	32528
06095	19659
06097	34139
06099	24198
06101	7661
06103	22360
06105	12870
06107	33864
06109	16121
06111	42975
06113	10303
06115	10921
08001	22954
08003	4069
08005	32039
08007	5859
08009	5476
08011	3470
08013	18603
08014	2548
08015	6836
08017	2645
08019	3895
08021	3869
08023	11423
08025	2034
08027	4037
08029	10648
08031	23791
08033	2749
08035	20193
08037	7332
08039	6371
08041	39523
08043	9805
08045	11464
08047	2318
08049	8276
08051	9648
08053	1566
08055	5653
08057	5363
08059	33930
08061	2353
08063	5466
08065	2885
08067	13256
08069	32090
08071	8852
08073	5221
08075	8689
08077	17310
08079	1636
08081	13166
08083	8291
08085	13473
08087	8669
08089	6389
08091	2637
08093	13413
